Date,StoreID,Revenue
2023-09-10,S001,1313.2555000000002
2023-09-11,S001,2800.8279999999995
2023-09-12,S001,640.0909999999999
2023-09-13,S001,3142.098
2023-09-14,S001,14339.5975
2023-09-15,S001,5347.0599999999995
2023-09-16,S001,4367.0985
2023-09-17,S001,4085.959
2023-09-18,S001,4378.896
2023-09-19,S001,3598.6519999999996
2023-09-20,S001,5598.773
2023-09-21,S001,4016.0070000000005
2023-09-22,S001,406.6475
2023-09-23,S001,4431.562
2023-09-26,S001,1347.56
2023-09-29,S001,2282.6749999999997
2023-09-30,S001,8757.846000000001
2023-10-01,S001,430.93899999999996
2023-10-02,S001,10177.4985
2023-10-03,S001,1396.22
2023-10-05,S001,6213.911000000001
2023-10-06,S001,11174.685999999998
2023-10-07,S001,2144.022
2023-10-08,S001,7356.407499999999
2023-10-09,S001,99.416
2023-10-10,S001,9273.933
2023-10-11,S001,9390.56
2023-10-14,S001,4417.29
2023-10-17,S001,730.2149999999999
2023-10-18,S001,9659.49
2023-10-19,S001,19488.9295
2023-10-20,S001,2416.9500000000003
2023-10-21,S001,13936.218499999999
2023-10-22,S001,1208.59
2023-10-24,S001,5625.09
2023-10-25,S001,1078.06
2023-10-26,S001,8814.6
2023-10-27,S001,9131.624
2023-10-28,S001,1457.64
2023-10-29,S001,5896.48
2023-11-02,S001,1927.8849999999998
2023-11-03,S001,7516.32
2023-11-04,S001,3769.794
2023-11-06,S001,4526.104
2023-11-07,S001,2652.8179999999998
2023-11-08,S001,3319.505
2023-11-09,S001,10694.914499999999
2023-11-11,S001,1459.11
2023-11-13,S001,1400.4139999999998
2023-11-15,S001,1510.7375
2023-11-16,S001,395.208
2023-11-18,S001,7520.928
2023-11-19,S001,8048.571000000001
2023-11-20,S001,3625.8554999999997
2023-11-22,S001,7787.847499999999
2023-11-24,S001,5588.4
2023-11-25,S001,3435.021
2023-11-26,S001,6284.196
2023-11-27,S001,1519.335
2023-11-28,S001,7933.14
2023-11-29,S001,6228.1645
2023-12-01,S001,6470.2335
2023-12-02,S001,11580.664499999999
2023-12-03,S001,87.72
2023-12-04,S001,3106.519
2023-12-05,S001,17232.4385
2023-12-07,S001,5312.262
2023-12-08,S001,4455.15
2023-12-09,S001,1410.7975
2023-12-11,S001,9839.7935
2023-12-13,S001,6359.209500000001
2023-12-16,S001,641.497
2023-12-18,S001,12158.973999999998
2023-12-19,S001,9115.226
2023-12-20,S001,4910.433
2023-12-22,S001,1757.3850000000002
2023-12-23,S001,4218.561
2023-12-24,S001,8373.87
2023-12-25,S001,211.28449999999998
2023-12-26,S001,8317.728
2023-12-28,S001,15597.438
2023-12-29,S001,4539.2
2023-12-31,S001,4143.722
2024-01-01,S001,697.167
2024-01-03,S001,6774.928
2024-01-04,S001,671.1389999999999
2024-01-05,S001,624.4014999999999
2024-01-06,S001,3525.84
2024-01-07,S001,1081.3955
2024-01-08,S001,3345.75
2024-01-09,S001,713.0025
2024-01-10,S001,1637.52
2024-01-14,S001,2702.628
2024-01-15,S001,5305.6359999999995
2024-01-18,S001,105.264
2024-01-20,S001,13844.04
2024-01-22,S001,3717.5
2024-01-23,S001,4201.241999999999
2024-01-26,S001,4053.942
2024-01-27,S001,3632.5120000000006
2024-01-28,S001,1625.054
2024-01-29,S001,6249.72
2024-01-30,S001,1875.02
2024-01-31,S001,2911.594
2024-02-02,S001,1434.9275
2024-02-03,S001,3347.749
2024-02-05,S001,923.1719999999999
2024-02-07,S001,1972.296
2024-02-08,S001,9602.271
2024-02-09,S001,5495.3275
2024-02-10,S001,1829.513
2024-02-12,S001,8742.372
2024-02-14,S001,990.711
2024-02-15,S001,5686.529
2024-02-16,S001,4194.144
2024-02-17,S001,3349.548
2024-02-18,S001,8043.592
2024-02-19,S001,1733.7745
2024-02-20,S001,10566.206999999999
2024-02-21,S001,1280.1819999999998
2024-02-22,S001,6043.0925
2024-02-23,S001,4060.0079999999994
2024-02-25,S001,4631.58
2024-02-26,S001,10219.1065
2024-02-28,S001,1134.8
2024-02-29,S001,1137.321
2024-03-04,S001,4279.161
2024-03-06,S001,24.2915
2024-03-07,S001,8972.106
2024-03-09,S001,11599.6075
2024-03-11,S001,11154.292
2024-03-12,S001,1391.892
2024-03-13,S001,6778.9765
2024-03-14,S001,9953.038
2024-03-15,S001,7313.229999999999
2024-03-18,S001,4565.349999999999
2024-03-19,S001,7852.415000000001
2024-03-22,S001,10821.601999999999
2024-03-23,S001,8004.870999999999
2024-03-24,S001,4984.44
2024-03-26,S001,1650.105
2024-03-27,S001,6593.094999999999
2024-03-28,S001,729.555
2024-03-29,S001,4135.624
2024-03-30,S001,1379.3970000000002
2024-03-31,S001,15608.567
2024-04-01,S001,5167.797
2024-04-02,S001,6805.6575
2024-04-03,S001,2242.998
2024-04-05,S001,4966.3575
2024-04-06,S001,9085.466
2024-04-07,S001,2561.0480000000002
2024-04-08,S001,822.7169999999999
2024-04-09,S001,7427.535
2024-04-10,S001,2159.7275
2024-04-11,S001,4218.561
2024-04-13,S001,2773.368
2024-04-14,S001,5331.1065
2024-04-15,S001,10134.575499999999
2024-04-16,S001,1471.509
2024-04-17,S001,115.065
2024-04-18,S001,2074.558
2024-04-19,S001,9763.25
2024-04-20,S001,10997.386
2024-04-21,S001,3106.519
2024-04-22,S001,12501.137999999999
2024-04-23,S001,4495.9275
2024-04-24,S001,4620.336
2024-04-25,S001,78.94800000000001
2024-04-26,S001,825.414
2024-04-30,S001,858.3
2024-05-03,S001,777.0104999999999
2024-05-04,S001,3159.875
2024-05-05,S001,279.939
2024-05-06,S001,3792.8955
2024-05-07,S001,2332.1949999999997
2024-05-08,S001,1650.321
2024-05-09,S001,10132.128
2024-05-11,S001,7113.182500000001
2024-05-12,S001,9395.4
2024-05-13,S001,6362.937
2024-05-15,S001,4874.506
2024-05-17,S001,1094.3324999999998
2024-05-18,S001,11598.798
2024-05-19,S001,3129.462
2024-05-20,S001,3022.7825000000003
2024-05-22,S001,2290.014
2024-05-23,S001,7871.255999999999
2024-05-24,S001,349.434
2024-05-25,S001,5709.78
2024-05-26,S001,14684.453
2024-05-27,S001,406.6475
2024-05-28,S001,5149.191
2024-05-29,S001,1457.64
2024-05-30,S001,5583.942
2024-06-01,S001,8738.668000000001
2024-06-02,S001,8822.087
2024-06-03,S001,1303.6194999999998
2024-06-05,S001,5851.674499999999
2024-06-07,S001,5672.069999999999
2024-06-08,S001,7733.595499999999
2024-06-09,S001,3859.6499999999996
2024-06-10,S001,4663.512
2024-06-11,S001,6716.28
2024-06-12,S001,5406.9775
2024-06-13,S001,13852.77
2024-06-15,S001,12370.520499999999
2024-06-16,S001,1785.1259999999997
2024-06-19,S001,2269.6
2024-06-20,S001,8938.038
2024-06-21,S001,2242.998
2024-06-22,S001,3873.9554999999996
2024-06-24,S001,4962.040000000001
2024-06-25,S001,9412.6615
2024-06-26,S001,296.40600000000006
2024-06-27,S001,5305.731
2024-06-28,S001,291.528
2024-06-29,S001,5919.022499999999
2024-07-01,S001,10622.15
2024-07-02,S001,7492.664
2024-07-03,S001,4087.251
2024-07-05,S001,3263.94
2024-07-06,S001,4205.6359999999995
2024-07-07,S001,7377.915
2024-07-08,S001,772.7059999999999
2024-07-10,S001,486.84600000000006
2024-07-11,S001,4475.24
2024-07-12,S001,8827.384
2024-07-14,S001,7418.842499999999
2024-07-15,S001,3368.8999999999996
2024-07-16,S001,439.12
2024-07-17,S001,4787.4665
2024-07-20,S001,1878.47
2024-07-21,S001,1156.731
2024-07-22,S001,671.139
2024-07-24,S001,2061.1904999999997
2024-07-25,S001,2282.6749999999997
2024-07-26,S001,730.2149999999999
2024-07-27,S001,6639.01
2024-07-28,S001,3545.0425
2024-07-29,S001,2742.5519999999997
2024-07-31,S001,1036.014
2024-08-02,S001,4111.3055
2024-08-03,S001,9608.861
2024-08-04,S001,4842.679
2024-08-06,S001,5856.671999999999
2024-08-07,S001,4421.425
2024-08-08,S001,6633.317999999999
2024-08-09,S001,13840.8725
2024-08-10,S001,858.7350000000001
2024-08-12,S001,58.48
2024-08-13,S001,279.939
2024-08-14,S001,1952.65
2024-08-16,S001,6632.045
2024-08-17,S001,6673.996
2024-08-18,S001,3678.9735
2024-08-19,S001,13325.456
2024-08-20,S001,219.56
2024-08-21,S001,994.28
2024-08-22,S001,24199.8875
2024-08-23,S001,2087.8379999999997
2024-08-24,S001,111.112
2024-08-26,S001,17574.5615
2024-08-27,S001,6982.44
2024-08-28,S001,1025.8955
2024-08-29,S001,7872.3245
2024-08-30,S001,209.423
2024-08-31,S001,386.235
2024-09-01,S001,5555.266
2024-09-03,S001,3514.971
2024-09-04,S001,1157.898
2024-09-05,S001,6593.5825
2024-09-06,S001,5282.911499999999
2024-09-08,S001,6856.961000000001
2024-09-09,S001,16219.173000000003
2024-09-11,S001,4552.617
2024-09-13,S001,8227.682
2024-09-14,S001,894.852
2024-09-16,S001,7512.172499999999
2024-09-17,S001,2425.608
2024-09-19,S001,10890.305
2024-09-21,S001,4323.63
2024-09-22,S001,12206.015500000001
2024-09-23,S001,9744.786499999998
2024-09-24,S001,6779.398000000001
2024-09-25,S001,9734.788
2024-09-26,S001,5208.3105
2024-09-27,S001,1396.22
2024-09-28,S001,633.8535
2024-09-29,S001,1391.892
2024-09-30,S001,5026.392
